time,gyrx,gyry,gyrz
7738,   -42,   -26,    -4
7749,   -41,   -27,     2
7759,   -34,   -26,     7
7768,   -25,   -24,    10
7779,   -16,   -21,    10
7789,   -12,   -20,     7
7798,   -13,   -21,     4
7809,   -16,   -25,     3
7819,   -18,   -28,     4
7828,   -21,   -28,     7
7839,   -24,   -24,    11
7849,   -25,   -20,    12
7858,   -24,   -17,    13
7868,   -22,   -15,    11
7879,   -19,   -16,     7
7888,   -17,   -16,     7
7898,   -13,   -14,     7
7909,    -7,   -12,     6
7919,     6,    -7,     1
7928,    20,    -1,     0
7939,    30,     3,     3
7949,    27,     3,     8
7958,    14,    -1,    12
7968,     4,     4,    13
7979,    -3,    22,    13
7989,   -14,    40,    15
7998,   -25,    49,    12
8008,   -34,    50,    10
8019,   -36,    43,     6
8028,   -35,    32,     4
8038,   -34,    22,     3
8049,   -29,    11,     2
8059,   -21,    -1,     3
8068,   -14,   -12,     4
8078,   -12,   -20,     8
8089,   -12,   -27,    11
8098,   -11,   -33,    14
8108,   -12,   -39,    16
8118,   -12,   -40,    17
8129,   -12,   -36,    18
8138,    -8,   -30,    19
8148,    -5,   -24,    21
8158,    -2,   -19,    22
8169,     1,   -16,    22
8178,     2,   -17,    21
8188,     2,   -18,    20
8199,    -4,   -20,    19
8208,   -13,   -25,    19
8218,   -23,   -35,    19
8229,   -30,   -51,    18
8238,   -32,   -68,    17
8247,   -29,   -79,    16
8259,   -21,   -77,    11
8268,   -15,   -64,     4
8278,   -19,   -45,     0
8288,   -29,   -26,    -2
8299,   -39,   -11,     2
8308,   -45,    -5,     8
8318,   -42,     2,    13
8329,   -29,     6,    14
8338,   -14,     1,    10
8348,    -3,   -11,     3
8359,     3,   -24,    -3
8369,     1,   -36,    -5
8378,    -6,   -43,    -4
8388,   -10,   -45,    -1
8399,    -8,   -42,     1
8408,    -6,   -36,     5
8418,    -4,   -31,     9
8429,    -2,   -26,    11
8438,    -1,   -21,    10
8448,    -1,   -21,     7
8457,    -4,   -22,     3
8468,    -7,   -23,     1
8478,    -9,   -23,     0
8487,   -11,   -22,     0
8499,   -12,   -21,     0
8508,   -14,   -19,     2
8518,   -14,   -17,     4
8527,   -15,   -15,     7
8539,   -14,   -11,     8
8548,   -12,    -8,     9
8557,   -12,    -5,     8
8568,   -10,    -2,     6
8578,   -11,    -1,     5
8587,   -14,    -2,     5
8598,   -16,    -3,     6
8608,   -18,    -7,     6
8618,   -19,   -10,     5
8627,   -18,   -13,     3
8638,   -16,   -15,     2
8648,   -16,   -16,     1
8659,   -15,   -17,     2
8668,   -14,   -17,     2
8678,   -12,   -16,     2
8687,   -12,   -13,     4
8699,   -12,   -12,     6
8708,   -11,   -13,     7
8717,   -12,   -16,     8
8727,   -13,   -17,     8
8738,   -14,   -16,     7
8747,   -15,   -15,     6
8757,   -17,   -14,     5
8768,   -18,   -11,     5
8777,   -17,    -9,     4
8788,   -16,    -7,     4
8798,   -16,    -6,     5
8808,   -15,    -6,     5
8817,   -14,    -7,     6
8828,   -13,    -8,     6
8838,   -13,   -10,     7
8847,   -13,   -11,     6
8858,   -13,   -12,     5
8868,   -13,   -13,     5
8877,   -15,   -13,     5
8888,   -16,   -13,     5
8898,   -17,   -12,     6
8907,   -19,   -12,     7
8918,   -19,   -14,     7
8928,   -21,   -14,     4
8937,   -21,    -9,     2
8947,   -21,    -7,     2
8958,   -21,    -7,     2
8967,   -21,    -9,     3
8977,   -20,   -11,     3
8988,   -19,   -12,     4
8997,   -17,   -14,     5
9008,   -16,   -14,     5
9018,   -13,   -13,     6
9027,   -11,   -12,     6
9037,    -9,   -12,     6
9048,    -8,   -14,     6
9058,    -8,   -16,     7
9067,    -8,   -17,     6
9078,    -8,   -18,     4
9088,    -8,   -18,     3
9097,    -9,   -18,     2
9107,   -12,   -18,     2
9118,   -15,   -16,     2
9127,   -18,   -15,     3
9137,   -19,   -14,     4
9148,   -18,   -13,     5
9157,   -15,   -14,     5
9168,   -12,   -16,     5
9177,    -9,   -17,     4
9187,    -7,   -19,     3
9198,    -7,   -22,     3
9207,    -9,   -22,     3
9217,   -11,   -20,     4
9228,   -13,   -18,     5
9237,   -14,   -18,     8
9247,   -14,   -19,     9
9258,   -13,   -19,    10
9267,   -12,   -17,    10
9277,   -12,   -15,     9
9288,   -13,   -14,     7
9297,   -15,   -14,     6
9307,   -16,   -14,     6
9318,   -17,   -13,     7
9327,   -18,   -10,     7
9337,   -17,    -9,     7
9348,   -17,    -8,     7
9357,   -18,    -7,     8
9367,   -18,    -5,     8
9378,   -17,    -5,     8
9387,   -17,    -6,     9
9396,   -16,    -9,     9
9408,   -15,   -12,     9
9417,   -13,   -14,     8
9426,   -13,   -15,     9
9437,   -14,   -15,     8
9447,   -15,   -14,     7
9456,   -16,   -13,     7
9467,   -17,   -13,     6
9477,   -16,   -13,     5
9486,   -15,   -14,     4
9496,   -14,   -15,     3
9507,   -12,   -15,     2
9517,   -11,   -15,     0
9526,    -8,   -15,    -2
9537,    -7,   -13,    -5
9547,    -7,   -11,    -8
9556,    -6,    -9,   -11
9567,    -6,    -6,   -14
9577,    -7,    -2,   -18
9586,    -7,     1,   -21
9598,    -7,     5,   -24
9607,    -6,     9,   -26
9617,    -5,    12,   -29
9626,    -6,    12,   -39
9637,    -9,    10,   -49
9647,    -8,     7,   -65
9658,    -9,     2,   -84
9667,    -2,    -9,  -102
9676,     7,   -10,  -113
9687,    22,    -5,  -120
9696,    30,     6,  -131
9707,    35,     0,  -155
9717,    35,   -17,  -166
9728,    12,   -18,  -148
9737,   -14,   -17,  -131
9746,   -28,   -29,  -132
9757,   -24,   -50,  -144
9767,   -17,   -61,  -151
9776,   -24,   -54,  -159
9787,   -17,   -51,  -174
9797,    -5,   -50,  -181
9806,   -13,   -18,  -168
9817,   -30,    22,  -148
9827,   -35,    31,  -144
9836,   -32,    30,  -155
9846,   -26,    34,  -163
9857,   -18,    45,  -164
9867,    -8,    57,  -160
9876,     1,    66,  -151
9887,    11,    72,  -144
9897,    17,    69,  -151
9906,    16,    61,  -171
9916,    10,    41,  -185
9927,     4,     8,  -182
